arm	concurrency	attempted	successful	failed	success_rate_pct	wilson_low_pct	wilson_high_pct	error_types
spark_llama	1	200	200	0	100.0000	98.1154	100.0000	{}
spark_llama	4	200	200	0	100.0000	98.1154	100.0000	{}
