suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
soak	deepseek_r1_8b	raw	1	1	0	0	1	0.0000	0.0000	105.5331	0.0000	390.1524	0.0000	18.0059	0.0000	18.3598	0.0000	2392.8410	0.0000	2681.6494	0.0000	0.2268	0.0000	29.0256	0.0000	4721.0000	0.0000	80.9100	0.0000
soak	glm4_9b	raw	1	1	0	0	1	0.0000	0.0000	64.6921	0.0000	350.4225	0.0000	22.1241	0.0000	22.8142	0.0000	2885.4645	0.0000	3175.8615	0.0000	0.1974	0.0000	25.2679	0.0000	5095.0000	0.0000	81.2300	0.0000
soak	qwen3_8b	raw	1	1	0	0	1	0.0000	0.0000	124.4215	0.0000	406.2400	0.0000	18.5317	0.0000	18.8845	0.0000	2480.0270	0.0000	2761.3383	0.0000	0.2183	0.0000	27.9442	0.0000	4837.0000	0.0000	81.1400	0.0000
soak	yi_15_9b	raw	1	1	0	0	1	0.0000	0.0000	81.8385	0.0000	384.0803	0.0000	20.7442	0.0000	21.2291	0.0000	2731.4644	0.0000	3028.8981	0.0000	0.2065	0.0000	26.4275	0.0000	5041.0000	0.0000	84.6600	0.0000
