arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	soak	raw	8	1	PASS	0.0000	318	318	0	100.0000	40.4403	128.0000	1656.9110	1319.7978	4834.3636	6006.8247	20.3478	20.5824	20.9100	21.1030	4241.0878	3901.8287	7429.9973	8644.3197	0.5351	68.4933	4837.0000	83.4600	74.1022	77.0000	40776.9600	128.2294	1.0018
deepseek_r1_8b	soak	raw	8	1	PASS	0.0000	325	325	0	100.0000	33.0431	128.0000	1507.1441	1119.3514	4524.3080	5695.9046	19.5207	19.7713	20.0703	20.2200	3986.2769	3636.6887	6986.5765	8224.5365	0.5515	70.5868	4723.0000	81.4800	74.3854	77.0000	40612.0900	124.9603	0.9763
glm4_9b	soak	raw	8	1	PASS	0.0000	287	287	0	100.0000	36.0244	128.0000	1755.3513	1408.5685	5054.2139	6205.3804	23.6877	23.8834	24.1449	24.3180	4763.6902	4456.0945	8086.4841	9245.8459	0.4849	62.0726	5095.0000	85.0200	77.4648	77.0000	41421.9250	144.3273	1.1276
yi_15_9b	soak	raw	8	1	PASS	0.0000	299	299	0	100.0000	56.6488	128.0000	1752.2991	1468.9834	4930.1877	6111.3567	22.5736	22.8012	23.1291	23.2269	4619.1500	4364.7344	7880.9392	9021.6989	0.5027	64.3514	5043.0000	87.9000	76.8347	78.0000	41368.9500	138.3577	1.0809
