suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
capacity	spark_llama	raw	1	3	0	0	3	0.0000	0.0000	114.7235	9.8279	140.7984	11.2019	14.2388	0.0771	14.3767	0.1023	1925.5127	15.1902	1958.5056	25.8899	0.5179	0.0038	66.2958	0.4935	2845.0000	0.0000	87.3933	5.8534
capacity	spark_llama	raw	2	3	0	0	3	0.0000	0.0000	186.8015	9.7807	215.0163	35.6507	16.4469	0.1016	16.6632	0.1947	2278.8531	2.5744	2309.8626	25.7720	0.8764	0.0043	112.1806	0.5449	2847.0000	0.0000	93.2367	14.3568
capacity	spark_llama	raw	4	3	0	0	3	0.0000	0.0000	2465.1444	18.6183	2534.4436	105.5818	16.5214	0.0197	16.8299	0.3105	4565.4094	27.3140	4643.4357	88.7110	0.8746	0.0073	111.9462	0.9367	2847.0000	0.0000	89.9900	27.6799
capacity	spark_llama	raw	6	3	0	0	3	0.0000	0.0000	4741.9521	44.7794	4828.2009	125.1353	16.5742	0.0155	16.8449	0.2701	6849.8091	49.1177	6952.7288	154.1504	0.8745	0.0096	111.9356	1.2328	2847.0000	0.0000	90.7600	13.5918
capacity	spark_llama	raw	8	3	0	0	3	0.0000	0.0000	7085.3365	53.3194	7259.6597	255.2878	16.6419	0.0637	16.9495	0.3856	9200.4522	64.9055	9396.7113	281.8052	0.8682	0.0059	111.1299	0.7646	2847.0000	0.0000	94.5067	15.4690
