arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	59.0000	16.0000	98.9808	98.9808	98.9808	98.9808	16.7682	16.7682	16.7682	16.7682	350.5040	350.5040	350.5040	350.5040	2.8300	45.2794	3439.0000	50.4900	8.0769	59.0000	184.8100	184.8100	11.5506
qwen_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	49.0000	16.0000	85.1197	85.1197	85.1197	85.1197	11.0876	11.0876	11.0876	11.0876	251.4338	251.4338	251.4338	251.4338	3.9299	62.8788	3881.0000	44.7400	10.0769	58.0000	168.1100	168.1100	10.5069
spark_llama	sessions	raw	1	1	UNSTABLE	25.0000	80	60	20	75.0000	1242.3667	64.0000	686.3282	598.8741	887.3705	1427.8439	16.2329	15.7930	17.3657	26.2222	1708.9998	1603.8261	1921.6807	2936.0033	0.5793	37.0779	3445.0000	104.5400	72.0044	75.0000	7734.4650	128.9077	2.0142
qwen_llama	sessions	raw	1	1	UNSTABLE	25.0000	80	60	20	75.0000	1193.9667	64.0000	559.5533	496.6067	720.9586	728.1731	13.4154	13.3883	13.8060	13.8138	1404.7263	1335.1480	1588.2196	1597.3066	0.7074	45.2747	3889.0000	85.6200	81.2199	77.0000	6719.5000	111.9917	1.7499
