arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	reliability	raw	1	1	PASS	0.0000	200	200	0	100.0000	40.4500	128.0000	100.3917	101.9385	116.6724	129.9408	16.8166	16.8093	16.9000	16.9626	2236.1000	2237.5362	2253.7711	2266.1440	0.4092	52.3828	4837.0000	85.5900	90.9710	81.0000	36039.0400	180.1952	1.4078
qwen3_8b	reliability	raw	4	1	PASS	0.0000	200	200	0	100.0000	40.4500	128.0000	2577.5564	2607.7825	2643.8176	2656.4092	18.1319	18.1203	18.2684	18.3097	4880.3077	4911.8445	4950.3073	4957.3821	0.7441	95.2397	4841.0000	118.1100	88.2330	79.0000	19888.1900	99.4409	0.7769
deepseek_r1_8b	reliability	raw	1	1	PASS	0.0000	200	200	0	100.0000	33.0500	128.0000	84.7471	85.9042	100.7422	105.8644	16.3222	16.2811	16.4950	17.7476	2157.6635	2153.3373	2180.0922	2350.9580	0.4238	54.2519	4721.0000	103.1600	91.5624	80.0000	35063.4450	175.3172	1.3697
deepseek_r1_8b	reliability	raw	4	1	PASS	0.0000	200	200	0	100.0000	33.0500	128.0000	2451.4707	2482.5668	2521.0857	2547.5859	17.5196	17.5063	17.6326	17.6641	4676.4555	4702.3939	4753.3287	4759.6519	0.7824	100.1477	4725.0000	85.1000	88.7247	80.0000	19099.5700	95.4978	0.7461
glm4_9b	reliability	raw	1	1	PASS	0.0000	200	200	0	100.0000	36.0000	128.0000	52.1749	52.9105	58.4321	61.4963	19.9977	19.9896	20.1033	20.1326	2591.8864	2590.7196	2605.9924	2609.2655	0.3535	45.2490	5095.0000	101.7700	92.5413	81.0000	42335.2250	211.6761	1.6537
glm4_9b	reliability	raw	4	1	PASS	0.0000	200	200	0	100.0000	36.0000	128.0000	2830.3773	2857.3936	2890.1777	2898.2705	21.0924	21.0826	21.2072	21.2436	5509.1140	5536.5645	5568.5159	5582.2596	0.6658	85.2165	5099.0000	98.9700	89.8824	80.0000	22495.6150	112.4781	0.8787
yi_15_9b	reliability	raw	1	1	PASS	0.0000	200	200	0	100.0000	56.6500	128.0000	75.7683	74.5202	90.7652	98.9605	18.6837	18.6679	18.8304	18.9090	2448.6020	2448.2225	2472.4030	2482.2278	0.3746	47.9482	5041.0000	101.2600	92.2650	81.0000	39975.4200	199.8771	1.5615
yi_15_9b	reliability	raw	4	1	PASS	0.0000	200	200	0	100.0000	56.6500	128.0000	2795.8566	2823.0311	2847.9060	2862.0394	20.0238	20.0064	20.2121	20.2376	5338.8826	5366.3804	5394.1680	5400.1975	0.6853	87.7138	5043.0000	97.7600	90.1426	81.0000	21731.0250	108.6551	0.8489
