arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
yi_15_9b	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	56.6500	128.0000	69.3577	68.4165	76.2666	79.0240	18.7027	18.7032	18.8261	18.8523	2444.5988	2445.2657	2462.7726	2465.2766	0.3715	47.5513	5041.0000	83.8600	90.0309	80.0000	12344.3250	205.7388	1.6073
yi_15_9b	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	56.6500	128.0000	134.0536	133.1897	145.7004	148.4184	19.9528	19.9381	20.1084	20.1217	2668.0548	2662.7192	2699.6491	2700.8636	0.6978	89.3178	5043.0000	83.4800	86.9454	78.0000	6754.6100	112.5768	0.8795
yi_15_9b	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	56.6500	128.0000	2713.2208	2799.1423	2827.4109	2832.4454	19.9774	19.9571	20.1045	20.2183	5250.3474	5335.8621	5364.8102	5372.5293	0.6978	89.3235	5043.0000	82.8800	86.7432	78.0000	6896.8050	114.9468	0.8980
yi_15_9b	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	56.6500	128.0000	5237.1587	5506.8399	5543.7702	5544.9411	20.1010	20.0752	20.3027	20.3263	7789.9840	8051.6249	8087.5835	8089.5395	0.6712	85.9137	5043.0000	90.9800	86.3098	78.0000	6926.7150	115.4453	0.9019
yi_15_9b	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	56.6500	128.0000	7662.8458	8200.5782	8233.4758	8245.9714	20.1296	20.1361	20.2775	20.2971	10219.3041	10753.6447	10797.3153	10805.6286	0.6707	85.8481	5043.0000	92.2800	86.1413	78.0000	6893.1550	114.8859	0.8975
deepseek_r1_8b	capacity	raw	1	2	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	93.2427	91.3363	102.3713	108.4182	16.3081	16.2937	16.4040	16.4093	2164.3748	2163.4233	2184.0593	2184.7110	0.4232	54.1639	4721.0000	85.3100	88.7491	80.0000	10782.5550	179.7092	1.4040
deepseek_r1_8b	capacity	raw	2	2	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	141.3320	141.0896	158.2709	164.1636	17.5064	17.5052	17.6404	17.6810	2364.6449	2362.0531	2390.0582	2401.4509	0.7804	99.8962	4725.0000	98.5600	84.3598	79.0000	6017.4700	100.2912	0.7835
deepseek_r1_8b	capacity	raw	4	2	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	2423.7044	2502.2651	2518.1761	2520.2572	17.5292	17.5304	17.6259	17.6420	4649.9129	4726.6730	4748.9441	4750.2955	0.7810	99.9618	4725.0000	97.5400	84.1951	79.0000	6103.3500	101.7225	0.7947
deepseek_r1_8b	capacity	raw	6	2	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	4680.9866	4918.9594	4958.9110	4962.6764	17.6916	17.6990	17.8521	17.8836	6927.8152	7166.0417	7208.4460	7216.7118	0.7457	95.4499	4725.0000	81.5800	83.3963	79.0000	6007.3950	100.1232	0.7822
deepseek_r1_8b	capacity	raw	8	2	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	6830.6295	7301.7686	7354.7344	7377.3947	17.7089	17.7066	17.8610	17.8985	9079.6599	9550.2027	9610.8790	9630.6810	0.7458	95.4582	4725.0000	83.4000	83.8000	79.0000	5977.0750	99.6179	0.7783
