arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	sessions	nocache	1	1	PASS	0.0000	60	60	0	100.0000	1195.0833	64.0000	792.0865	723.7462	1083.3543	1092.6860	18.7504	18.6618	19.1563	19.3123	1973.3646	1900.1775	2284.3092	2297.2559	0.5059	32.3769	4847.0000	105.3000	86.3230	78.0000	9337.9850	155.6331	2.4318
qwen3_8b	sessions	cache	1	1	PASS	0.0000	60	60	0	100.0000	1195.0833	64.0000	472.2586	425.1441	631.0498	675.9166	18.7589	18.6298	19.1254	20.3008	1654.0678	1626.0546	1817.7297	1837.7043	0.6032	38.6076	4847.0000	107.4000	85.7873	79.0000	8134.9200	135.5820	2.1185
deepseek_r1_8b	sessions	nocache	1	1	PASS	0.0000	60	60	0	100.0000	1183.2667	64.0000	740.2231	681.4924	1019.9982	1037.5211	18.0852	18.0132	18.4656	18.6345	1879.5916	1815.4588	2181.8413	2199.9963	0.5311	33.9917	4731.0000	97.6600	87.8226	80.0000	9273.6950	154.5616	2.4150
deepseek_r1_8b	sessions	cache	1	1	PASS	0.0000	60	60	0	100.0000	1183.2667	64.0000	437.9110	400.3409	561.4510	596.2134	18.1093	18.0448	18.4833	18.6149	1578.7959	1560.5121	1690.5819	1716.5228	0.6321	40.4542	4731.0000	101.6500	85.1762	79.0000	7683.8850	128.0648	2.0010
glm4_9b	sessions	nocache	1	1	PASS	0.0000	60	60	0	100.0000	1184.9333	64.0000	778.6457	758.5619	1166.8324	1167.5198	22.2676	22.2304	22.6761	22.7585	2181.5039	2158.9701	2583.2332	2594.2264	0.4579	29.3049	5105.0000	85.1700	90.2063	80.0000	10947.6650	182.4611	2.8510
glm4_9b	sessions	cache	1	1	PASS	0.0000	60	60	0	100.0000	1184.9000	64.0000	424.4518	423.7674	441.2782	449.8420	22.3265	22.2473	22.7923	22.9129	1831.0183	1828.5852	1864.3915	1881.7822	0.5452	34.8946	5105.0000	83.4600	88.7054	80.0000	8985.9650	149.7661	2.3401
yi_15_9b	sessions	nocache	1	1	PASS	0.0000	60	60	0	100.0000	1269.8500	64.0000	891.6294	834.5952	1308.7765	1331.0669	21.1627	21.1594	21.7128	21.7563	2224.8772	2180.4965	2676.1223	2697.4813	0.4487	28.7179	5049.0000	85.7000	89.7491	81.0000	11008.3800	183.4730	2.8668
yi_15_9b	sessions	cache	1	1	PASS	0.0000	60	60	0	100.0000	1269.8500	64.0000	465.4119	434.4455	546.3629	586.6856	21.0996	21.0989	21.6785	21.7173	1794.6893	1788.2670	1853.4528	1887.5445	0.5564	35.6110	5049.0000	84.7900	86.5148	80.0000	8889.8450	148.1641	2.3151
