suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
soak	deepseek_r1_8b	raw	8	1	0	0	1	0.0000	0.0000	1119.3514	0.0000	4524.3080	0.0000	19.7713	0.0000	20.0703	0.0000	3636.6887	0.0000	6986.5765	0.0000	0.5515	0.0000	70.5868	0.0000	4723.0000	0.0000	81.4800	0.0000
soak	glm4_9b	raw	8	1	0	0	1	0.0000	0.0000	1408.5685	0.0000	5054.2139	0.0000	23.8834	0.0000	24.1449	0.0000	4456.0945	0.0000	8086.4841	0.0000	0.4849	0.0000	62.0726	0.0000	5095.0000	0.0000	85.0200	0.0000
soak	qwen3_8b	raw	8	1	0	0	1	0.0000	0.0000	1319.7978	0.0000	4834.3636	0.0000	20.5824	0.0000	20.9100	0.0000	3901.8287	0.0000	7429.9973	0.0000	0.5351	0.0000	68.4933	0.0000	4837.0000	0.0000	83.4600	0.0000
soak	yi_15_9b	raw	8	1	0	0	1	0.0000	0.0000	1468.9834	0.0000	4930.1877	0.0000	22.8012	0.0000	23.1291	0.0000	4364.7344	0.0000	7880.9392	0.0000	0.5027	0.0000	64.3514	0.0000	5043.0000	0.0000	87.9000	0.0000
