arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	openloop	0.50	8	1	PASS	0.0000	47	47	0	100.0000	51.0213	128.0000	555.3043	210.5199	1942.0242	2318.3171	17.4416	17.6620	19.0881	19.1419	2770.3812	2531.0988	4226.9294	4630.4262	0.3917	50.1326	3045.0000	82.6500	43.8108	72.0000	6423.1450	136.6627	1.0677
spark_llama	openloop	0.75	8	1	PASS	0.0000	71	71	0	100.0000	50.5775	128.0000	1204.6330	917.2344	3368.0516	4252.9708	18.0495	18.6359	19.0074	19.1413	3496.9234	3280.9079	5652.8588	6626.7630	0.5745	73.5310	3043.0000	100.9800	56.8365	75.0000	8180.5300	115.2187	0.9001
spark_llama	openloop	0.90	8	1	PASS	0.0000	87	87	0	100.0000	50.9425	128.0000	2339.0622	2184.1953	5284.9317	6715.7980	18.4204	18.5507	19.0433	19.2371	4678.4526	4547.7626	7672.8714	9114.2208	0.6941	88.8464	3043.0000	99.8900	63.6868	77.0000	9194.0500	105.6787	0.8256
spark_llama	openloop	1.00	8	1	PASS	0.0000	86	86	0	100.0000	50.8605	128.0000	4969.9200	5611.5202	8401.0699	8804.0304	20.7839	21.2380	22.5478	22.8616	7609.4746	8160.4187	11172.0229	11562.9160	0.6834	87.4787	3043.0000	96.3200	60.3961	79.0000	8509.5550	98.9483	0.7730
spark_llama	openloop	1.10	8	1	PASS	0.0000	98	98	0	100.0000	50.8367	128.0000	4769.9709	5235.3414	7574.5895	7780.2470	18.6934	18.8032	19.1202	19.2669	7144.0268	7638.1573	9929.1653	10208.6621	0.7580	97.0200	3043.0000	97.4800	66.5387	80.0000	10060.9250	102.6625	0.8021
