suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
openloop	spark_llama	0.50	8	1	0	0	1	0.0000	0.0000	184.5805	0.0000	1654.6792	0.0000	16.2069	0.0000	17.2567	0.0000	2292.5488	0.0000	3728.1603	0.0000	0.4167	0.0000	53.3325	0.0000	2847.0000	0.0000	79.7600	0.0000
openloop	spark_llama	0.75	8	1	0	0	1	0.0000	0.0000	1010.9853	0.0000	2914.1869	0.0000	16.9800	0.0000	17.3713	0.0000	3188.7311	0.0000	5042.7144	0.0000	0.6336	0.0000	81.1029	0.0000	2845.0000	0.0000	79.9100	0.0000
openloop	spark_llama	0.90	8	1	0	0	1	0.0000	0.0000	2598.4929	0.0000	5196.1847	0.0000	17.2702	0.0000	17.7548	0.0000	4815.7703	0.0000	7406.5815	0.0000	0.7641	0.0000	97.7988	0.0000	2845.0000	0.0000	113.4200	0.0000
openloop	spark_llama	1.00	8	1	0	0	1	0.0000	0.0000	4060.2743	0.0000	6931.1176	0.0000	17.3166	0.0000	17.7595	0.0000	6280.1530	0.0000	9154.3189	0.0000	0.8042	0.0000	102.9433	0.0000	2845.0000	0.0000	97.2300	0.0000
openloop	spark_llama	1.10	8	1	0	0	1	0.0000	0.0000	5620.8566	0.0000	7178.0679	0.0000	17.3650	0.0000	17.8195	0.0000	7838.2724	0.0000	9374.1857	0.0000	0.8154	0.0000	104.3695	0.0000	2845.0000	0.0000	85.5300	0.0000
