suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
reliability	deepseek_r1_8b	raw	1	1	0	0	1	0.0000	0.0000	85.9042	0.0000	100.7422	0.0000	16.2811	0.0000	16.4950	0.0000	2153.3373	0.0000	2180.0922	0.0000	0.4238	0.0000	54.2519	0.0000	4721.0000	0.0000	103.1600	0.0000
reliability	deepseek_r1_8b	raw	4	1	0	0	1	0.0000	0.0000	2482.5668	0.0000	2521.0857	0.0000	17.5063	0.0000	17.6326	0.0000	4702.3939	0.0000	4753.3287	0.0000	0.7824	0.0000	100.1477	0.0000	4725.0000	0.0000	85.1000	0.0000
reliability	glm4_9b	raw	1	1	0	0	1	0.0000	0.0000	52.9105	0.0000	58.4321	0.0000	19.9896	0.0000	20.1033	0.0000	2590.7196	0.0000	2605.9924	0.0000	0.3535	0.0000	45.2490	0.0000	5095.0000	0.0000	101.7700	0.0000
reliability	glm4_9b	raw	4	1	0	0	1	0.0000	0.0000	2857.3936	0.0000	2890.1777	0.0000	21.0826	0.0000	21.2072	0.0000	5536.5645	0.0000	5568.5159	0.0000	0.6658	0.0000	85.2165	0.0000	5099.0000	0.0000	98.9700	0.0000
reliability	qwen3_8b	raw	1	1	0	0	1	0.0000	0.0000	101.9385	0.0000	116.6724	0.0000	16.8093	0.0000	16.9000	0.0000	2237.5362	0.0000	2253.7711	0.0000	0.4092	0.0000	52.3828	0.0000	4837.0000	0.0000	85.5900	0.0000
reliability	qwen3_8b	raw	4	1	0	0	1	0.0000	0.0000	2607.7825	0.0000	2643.8176	0.0000	18.1203	0.0000	18.2684	0.0000	4911.8445	0.0000	4950.3073	0.0000	0.7441	0.0000	95.2397	0.0000	4841.0000	0.0000	118.1100	0.0000
reliability	yi_15_9b	raw	1	1	0	0	1	0.0000	0.0000	74.5202	0.0000	90.7652	0.0000	18.6679	0.0000	18.8304	0.0000	2448.2225	0.0000	2472.4030	0.0000	0.3746	0.0000	47.9482	0.0000	5041.0000	0.0000	101.2600	0.0000
reliability	yi_15_9b	raw	4	1	0	0	1	0.0000	0.0000	2823.0311	0.0000	2847.9060	0.0000	20.0064	0.0000	20.2121	0.0000	5366.3804	0.0000	5394.1680	0.0000	0.6853	0.0000	87.7138	0.0000	5043.0000	0.0000	97.7600	0.0000
