arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	shape_summarization	512	4	1	PASS	0.0000	60	60	0	100.0000	520.0000	128.0000	3664.8611	3753.8027	3925.4850	3960.8318	18.6822	18.6724	18.8352	18.8678	6037.5008	6127.9550	6306.0812	6348.5171	0.6122	78.3574	4845.0000	85.1800	82.6944	79.0000	7734.7550	128.9126	1.0071
deepseek_r1_8b	shape_summarization	512	1	1	PASS	0.0000	60	60	0	100.0000	515.0000	128.0000	396.2589	392.9708	429.0722	450.1720	18.1374	18.1219	18.3742	18.5679	2699.7104	2696.5489	2752.9896	2768.8085	0.3699	47.3452	4729.0000	107.4500	85.9258	80.0000	13602.1400	226.7023	1.7711
deepseek_r1_8b	shape_summarization	512	4	1	PASS	0.0000	60	60	0	100.0000	515.0000	128.0000	3829.2520	3948.6160	4005.0833	4019.0762	19.6641	19.6497	19.7973	20.0186	6326.5928	6445.8759	6509.0730	6543.4560	0.6212	79.5158	4729.0000	87.1800	80.2009	79.0000	8063.5850	134.3931	1.0499
glm4_9b	shape_summarization	512	1	1	PASS	0.0000	60	60	0	100.0000	517.0000	128.0000	366.3307	366.2067	376.9336	383.4851	21.8991	21.8738	22.0214	22.0385	3147.5120	3145.2615	3166.9598	3175.6402	0.3175	40.6344	5105.0000	98.3100	88.6105	80.0000	15815.6650	263.5944	2.0593
glm4_9b	shape_summarization	512	4	1	PASS	0.0000	60	60	0	100.0000	517.0000	128.0000	4244.8588	4368.3028	4394.7171	4401.0678	23.4320	23.4173	23.6022	23.6318	7220.7287	7345.1643	7379.1346	7382.8640	0.5445	69.6922	5105.0000	111.7200	84.1647	80.0000	9387.8550	156.4642	1.2224
yi_15_9b	shape_summarization	512	1	1	PASS	0.0000	60	60	0	100.0000	532.1333	128.0000	415.0311	414.4287	424.3504	426.2663	20.6339	20.6305	20.7487	20.7647	3035.5329	3035.5576	3052.5074	3060.1366	0.3290	42.1087	5047.0000	120.6200	88.3975	80.0000	15391.3100	256.5218	2.0041
yi_15_9b	shape_summarization	512	4	1	PASS	0.0000	60	60	0	100.0000	532.1333	128.0000	4298.9952	4428.4190	4463.3602	4471.4256	22.3538	22.3473	22.5124	22.5337	7137.9266	7260.1029	7312.9864	7316.0496	0.5508	70.5067	5047.0000	106.3600	84.2510	80.0000	9161.5350	152.6923	1.1929
qwen3_8b	shape_rag_medium	768	1	1	TIMEOUT	8.0000	50	46	4	92.0000																	4845.0000	85.4800	27.3770	80.0000	15924.2450	346.1792	
qwen3_8b	shape_rag_medium	768	4	1	UNSTABLE	23.3333	60	46	14	76.6667	776.0000	128.0000	5131.4518	4774.1977	5074.1141	15258.8930	55.8526	20.7077	21.2240	828.9977	12224.7331	7406.4728	7712.0016	120541.2712	0.2070	26.4927	4847.0000	83.4900	46.1173	76.0000	8682.7850	188.7562	1.4747
deepseek_r1_8b	shape_rag_medium	768	1	1	UNSTABLE	15.0000	60	51	9	85.0000	771.0000	128.0000	605.2990	598.4930	643.7153	852.0802	18.2891	18.2458	18.4944	19.2398	2928.0156	2915.9563	2964.6101	3295.5351	0.0716	9.1677	4729.0000	125.4800	29.6309	79.0000	18350.8000	359.8196	2.8111
deepseek_r1_8b	shape_rag_medium	768	4	1	UNSTABLE	16.6667	60	50	10	83.3333	771.0000	128.0000	4494.9894	4561.0413	4890.6703	5511.3722	19.9554	19.9085	20.1536	20.9650	7029.3241	7085.7340	7436.8729	8173.9245	0.1342	17.1716	4731.0000	88.5500	39.0120	76.0000	10005.5000	200.1100	1.5634
glm4_9b	shape_rag_medium	768	1	1	PASS	0.0000	60	60	0	100.0000	773.0000	128.0000	531.7700	530.4743	544.2342	553.2845	22.1014	22.0939	22.2421	22.3564	3338.6415	3334.2838	3365.4709	3384.9566	0.2992	38.2936	5105.0000	110.6000	88.8072	79.0000	16771.1050	279.5184	2.1837
glm4_9b	shape_rag_medium	768	4	1	PASS	0.0000	60	60	0	100.0000	773.0000	128.0000	4898.2110	5029.0217	5085.2941	5097.2257	23.5209	23.5138	23.7128	23.7574	7885.3710	8008.6609	8066.6418	8114.4135	0.4986	63.8250	5105.0000	87.9700	85.2708	79.0000	10201.9400	170.0323	1.3284
yi_15_9b	shape_rag_medium	768	1	1	PASS	0.0000	60	60	0	100.0000	788.1333	128.0000	595.0688	592.8769	610.2450	624.0042	20.8706	20.8604	21.0185	21.0598	3245.6356	3244.2985	3270.1276	3284.1491	0.3077	39.3878	5047.0000	85.4800	88.9559	80.0000	16320.4200	272.0070	2.1251
yi_15_9b	shape_rag_medium	768	4	1	PASS	0.0000	60	60	0	100.0000	788.1333	128.0000	5066.1887	5196.9853	5326.8634	5339.8263	22.5899	22.5815	22.7363	22.8484	7935.1031	8062.2066	8200.6953	8214.0019	0.4955	63.4226	5049.0000	108.2700	85.6137	79.0000	10223.7950	170.3966	1.3312
qwen3_8b	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	136.0000	512.0000	241.5291	233.3374	289.1027	300.1179	18.8234	18.8066	18.9395	19.0087	9860.3068	9848.8877	9937.3225	9973.6521	0.1013	51.8897	4839.0000	84.1800	90.8514	81.0000	49605.3950	826.7566	1.6148
qwen3_8b	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	136.0000	512.0000	10821.2980	11151.0834	11349.3889	11404.6266	20.4368	20.4292	20.5373	20.5578	21264.4850	21582.7374	21836.3871	21909.7018	0.1849	94.6770	4841.0000	86.0800	87.8126	80.0000	27482.2250	458.0371	0.8946
deepseek_r1_8b	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	131.0000	512.0000	212.3853	210.1915	231.2118	238.8791	18.2160	18.2149	18.2710	18.3155	9520.7384	9517.9799	9565.4254	9582.5109	0.1050	53.7434	4723.0000	96.1200	90.6558	81.0000	47813.8600	796.8977	1.5564
deepseek_r1_8b	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	131.0000	512.0000	10391.6858	10731.7539	10828.1256	10835.5322	19.6834	19.6806	19.7708	19.7923	20449.9163	20789.9369	20919.9814	20934.0342	0.1923	98.4460	4725.0000	93.5000	87.4292	81.0000	26485.3050	441.4218	0.8622
glm4_9b	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	133.0000	512.0000	144.3431	143.2659	154.6600	166.9333	21.9004	21.9035	22.0039	22.0270	11335.4379	11334.5345	11394.8372	11410.3482	0.0882	45.1479	5097.0000	85.1700	92.3432	81.0000	56994.7200	949.9120	1.8553
glm4_9b	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	133.0000	512.0000	11967.7429	12365.1157	12478.2256	12535.2455	23.2794	23.2724	23.4099	23.5440	23863.4911	24238.7950	24409.6829	24461.8219	0.1648	84.3794	5099.0000	85.6000	89.4943	81.0000	30678.8550	511.3143	0.9987
yi_15_9b	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	148.1333	512.0000	174.3392	173.5410	184.5047	185.1392	20.5584	20.5452	20.6586	20.7692	10679.6732	10676.3708	10726.3857	10787.0655	0.0936	47.9164	5041.0000	87.2400	92.4705	81.0000	53648.4650	894.1411	1.7464
yi_15_9b	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	148.1333	512.0000	11581.0543	11959.8891	12026.0748	12045.0511	22.1512	22.1493	22.2220	22.2399	22900.3054	23286.4698	23352.6195	23357.3159	0.1717	87.9259	5043.0000	90.1000	90.2078	81.0000	29585.0200	493.0837	0.9631
